,anio,infracciones,total
566,2023,otros,1361
567,2023,otros,173
568,2023,otros,40679
569,2023,otros,518
570,2023,otros,29475
571,2023,otros,243
572,2023,otros,444
573,2023,otros,42
574,2023,otros,82
575,2023,otros,4557
576,2023,otros,272
577,2023,otros,45
578,2023,otros,2148
579,2023,otros,111
580,2023,otros,151
581,2023,otros,47
582,2023,otros,1141
583,2023,otros,53
584,2023,otros,168
585,2023,otros,183
586,2023,otros,199
587,2023,conducir sin licencia y/o vencida,113053
588,2023,otros,114846
589,2023,otros,6095
590,2023,otros,15121
591,2023,hablar por celular,41102
592,2023,otros,525
593,2023,otros,123
594,2023,otros,62
595,2023,otros,29
596,2023,otros,35
597,2023,otros,64
598,2023,otros,72
599,2023,transitar sin cinturon,89945
600,2023,otros,530
601,2023,otros,26043
602,2023,otros,13362
603,2023,otros,336
604,2023,giro prohibido,31565
605,2023,otros,215
606,2023,estacionarse en lugares prohibidos,33419
607,2023,otros,146
608,2023,otros,21
609,2023,otros,6
610,2023,otros,70
611,2023,otros,94
612,2023,otros,18289
613,2023,otros,2406
614,2023,otros,298
615,2023,otros,1466
616,2023,transitar sin casco,370528
617,2023,otros,11958
618,2023,via contraria,43754
619,2023,otros,16265
620,2023,otros,421
621,2023,otros,421
622,2023,otros,244
623,2023,otros,184
624,2023,otros,135340
625,2023,otros,43
626,2023,otros,103
627,2023,otros,396
628,2023,otros,52
629,2023,otros,45188
630,2023,otros,3225
631,2023,otros,5771
632,2023,otros,906
633,2023,otros,697
634,2024,otros,231
635,2024,otros,12
636,2024,otros,169
637,2024,otros,52
638,2024,otros,5075
639,2024,otros,5108
640,2024,otros,5779
641,2024,otros,1940
642,2024,otros,70
643,2024,otros,2358
644,2024,otros,260
645,2024,otros,223
646,2024,otros,26
647,2024,otros,3513
648,2024,otros,8270
649,2024,violar la luz roja,150901
650,2024,otros,335
651,2024,otros,17
652,2024,otros,953
653,2024,otros,9888
654,2024,otros,604
655,2024,otros,4853
656,2024,otros,533
657,2024,otros,138
658,2024,otros,3112
659,2024,otros,177
660,2024,otros,2045
661,2024,obstruir el transito,28572
662,2024,otros,68
663,2024,otros,8
664,2024,otros,1326
665,2024,otros,23
666,2024,otros,75380
667,2024,otros,2040
668,2024,otros,162
669,2024,otros,48984
670,2024,otros,248
671,2024,otros,28976
672,2024,otros,86
673,2024,otros,507
674,2024,otros,106
675,2024,otros,32
676,2024,otros,4891
677,2024,otros,224
678,2024,otros,12
679,2024,otros,1340
680,2024,otros,71
681,2024,otros,181
682,2024,otros,128
683,2024,otros,2105
684,2024,otros,137
685,2024,otros,53
686,2024,otros,173
687,2024,otros,147
688,2024,conducir sin licencia y/o vencida,173281
689,2024,otros,193737
690,2024,otros,5478
691,2024,otros,17871
692,2024,hablar por celular,42829
693,2024,otros,6191
694,2024,otros,5
695,2024,otros,75
696,2024,otros,4
697,2024,otros,0
698,2024,otros,89
699,2024,otros,64
700,2024,transitar sin cinturon,103156
701,2024,otros,155
702,2024,otros,36583
703,2024,otros,9347
704,2024,otros,270
705,2024,giro prohibido,34891
706,2024,otros,283
707,2024,estacionarse en lugares prohibidos,45133
708,2024,otros,119
709,2024,otros,10
710,2024,otros,14
711,2024,otros,64
712,2024,otros,68
713,2024,otros,22462
714,2024,otros,6756
715,2024,otros,389
716,2024,otros,1112
717,2024,transitar sin casco,573078
718,2024,otros,9672
719,2024,via contraria,50415
720,2024,otros,22317
721,2024,otros,370
722,2024,otros,1461
723,2024,otros,285
724,2024,otros,319
725,2024,otros,65239
726,2024,otros,260
727,2024,otros,65
728,2024,otros,28582
729,2024,otros,9
730,2024,otros,74975
731,2024,otros,4132
732,2024,otros,8995
733,2024,otros,2936
734,2024,otros,2070
